site,sample,species,density,rbi,srl,unique_id,air_porosity,som
S20,S2,Lepyrodia scariosa,0.07836644305505429,1.2201073694485116,499.75609756097555,S20S2Lepyrodia scariosa2,7.315436242,6.5868154734
S20,S3,Lepyrodia scariosa,0.11748872564189526,1.333841463414634,323.95061728395063,S20S3Lepyrodia scariosa3,9.779758783,6.5868154734
S20,S1,Plinthanthesis paradoxa,0.12285300463111024,1.8903591682419658,1923.6363636363635,S20S1Plinthanthesis paradoxa1,NA,6.5868154734
S20,S4,Plinthanthesis paradoxa,0.13915142438978323,NA,NA,NA,8.738487899,6.5868154734
S20,S2,Plinthanthesis paradoxa,0.1291485369104778,NA,NA,NA,8.552138035,6.5868154734
S20,S3,Plinthanthesis paradoxa,0.12519312018317139,2.778371446890361,2339.5,S20S3Plinthanthesis paradoxa3,27.63133296,6.5868154734
S20,S1,Ptilothrix deusta,0.13306666663367495,1.0029754939654307,155.78645833333334,S20S1Ptilothrix deusta1,9.944903581,6.5868154734
S20,S2,Ptilothrix deusta,0.32485995447903665,1.4981273408239701,988.8888888888888,S20S2Ptilothrix deusta2,25.37850114,6.5868154734
S20,S2,Ptilothrix deusta,0.19812679781890083,1.4981273408239701,988.8888888888888,S20S2Ptilothrix deusta2,25.37850114,6.5868154734
S20,S3,Ptilothrix deusta,0.36878423758417117,9.685230024213075,2065.0000000000005,S20S3Ptilothrix deusta3,11.3805456,6.5868154734
S3,S1,Banksia ericifolia,0.0993641920685776,2.1509581540868203,7305.714285714285,S3S1Banksia ericifolia1,NA,5.2133418098
S3,S2,Banksia ericifolia,0.20376289820515012,0.8821676118462508,2833.928571428571,S3S2Banksia ericifolia2,NA,5.2133418098
S3,S3,Banksia ericifolia,0.324682666383832,0.3521746786406057,1534.8648648648648,S3S3Banksia ericifolia3,NA,5.2133418098
S3,S1,Cyathochaeta diandra,0.18523218057971166,0.3589375448671931,314.8022598870056,S3S1Cyathochaeta diandra1,2.187720536,5.2133418098
S3,S2,Cyathochaeta diandra,0.31566910151552857,1.3717421124828533,1301.7857142857142,S3S2Cyathochaeta diandra2,4.01459854,5.2133418098
S3,S1,Entolasia stricta,0.12685760277444966,0.5184609117505462,6429.285714285715,S3S1Entolasia stricta1,-17.77956557,5.2133418098
S3,S2,Entolasia stricta,0.1328347331022632,1.0962658444672833,9121.875,S3S2Entolasia stricta2,1.80636983,5.2133418098
S3,S3,Entolasia stricta,0.1000670549806699,1.1235113474646092,7853.529411764707,S3S3Entolasia stricta3,1.558318904,5.2133418098
S3,S1,Gonocarpus micranthus,0.07869534040750277,0.40942420069229907,8141.515151515152,S3S1Gonocarpus micranthus1,5.171530978,5.2133418098
S3,S2,Gonocarpus micranthus,0.09765232010234554,0.576,6793.478260869565,S3S2Gonocarpus micranthus2,4.539340955,5.2133418098
S3,S3,Gonocarpus micranthus,0.0924009744314971,0.47316479653913746,3793.3333333333335,S3S3Gonocarpus micranthus3,2.506091194,5.2133418098
S3,S1,Gonocarpus tetragynus,0.09893306099339483,0.628563731872671,7424.333333333333,S3S1Gonocarpus tetragynus1,4.036791007,5.2133418098
S3,S2,Gonocarpus tetragynus,0.4008798771160387,0.6005705420149141,6445.483870967742,S3S2Gonocarpus tetragynus2,1.530221882,5.2133418098
S3,S2,Gonocarpus tetragynus,0.4008798771160387,0.6005705420149141,6445.483870967742,S3S2Gonocarpus tetragynus2,0.357956394,5.2133418098
S3,S2,Gonocarpus tetragynus,0.17050113876573908,0.6005705420149141,6445.483870967742,S3S2Gonocarpus tetragynus2,1.530221882,5.2133418098
S3,S2,Gonocarpus tetragynus,0.17050113876573908,0.6005705420149141,6445.483870967742,S3S2Gonocarpus tetragynus2,0.357956394,5.2133418098
S3,S3,Gonocarpus tetragynus,0.1415650421995327,0.5744925315970892,1470.9859154929577,S3S3Gonocarpus tetragynus3,2.117647059,5.2133418098
S3,S1,Lepidosperma neesii,0.17359266250706665,0.7098606091894683,4998.709677419355,S3S1Lepidosperma neesii1,10.87919039,5.2133418098
S3,S2,Lepidosperma neesii,0.17496358345282423,1.3848671786478661,3971.4999999999995,S3S2Lepidosperma neesii2,14.59877538,5.2133418098
S3,S1,Leptocarpus tenax,0.06993914919859665,1.5895953757225434,9226.666666666666,S3S1Leptocarpus tenax1,10.42537851,5.2133418098
S3,S1,Leptocarpus tenax,0.06993914919859665,1.5895953757225434,9226.666666666666,S3S1Leptocarpus tenax1,18.47325185,5.2133418098
S3,S1,Leptocarpus tenax,0.09718052502278543,1.5895953757225434,9226.666666666666,S3S1Leptocarpus tenax1,10.42537851,5.2133418098
S3,S1,Leptocarpus tenax,0.09718052502278543,1.5895953757225434,9226.666666666666,S3S1Leptocarpus tenax1,18.47325185,5.2133418098
S3,S2,Leptocarpus tenax,0.14677465254373004,2.2733351163412676,8308.888888888889,S3S2Leptocarpus tenax2,20.02710945,5.2133418098
S3,S2,Leptocarpus tenax,0.14677465254373004,2.2733351163412676,9347.5,S3S2Leptocarpus tenax2,20.02710945,5.2133418098
S3,S3,Leptocarpus tenax,0.1044300709613485,1.260835303388495,7931.249999999999,S3S3Leptocarpus tenax3,8.770741619,5.2133418098
S3,S3,Leptocarpus tenax,0.1044300709613485,1.260835303388495,2440.3846153846152,S3S3Leptocarpus tenax3,8.770741619,5.2133418098
S3,S3,Leptocarpus tenax,0.08719403983180554,1.260835303388495,7931.249999999999,S3S3Leptocarpus tenax3,8.770741619,5.2133418098
S3,S3,Leptocarpus tenax,0.08719403983180554,1.260835303388495,2440.3846153846152,S3S3Leptocarpus tenax3,8.770741619,5.2133418098
