site,sample,site_class,species,species_code,replicate,TD,SRL
S19,S1,IU,Gonocarpus tetragynus,tetra,1,0.0103,0.0004
S19,S2,IU,Gonocarpus tetragynus,tetra,2,,0.0013
S19,S3,IU,Gonocarpus tetragynus,tetra,3,,0.0068
S19,S1,IU,Empodisma minus,emp,1,0.1193,0.0023
S19,S2,IU,Empodisma minus,emp,2,0.0652,0.0015
S19,S3,IU,Empodisma minus,emp,3,0.1319,0.0018
S19,S1,IU,Plinthanthesis paradoxa,plin,1,0.0497,0.0029
S19,S2,IU,Plinthanthesis paradoxa,plin,2,,0.0046
S19,S3,IU,Plinthanthesis paradoxa,plin,3,,0.0021
S19,S1,IU,Lepyrodia scariosa,lepy,1,0.036,0.0002
S19,S2,IU,Lepyrodia scariosa,lepy,2,0.047,0.0015
S19,S3,IU,Lepyrodia scariosa,lepy,3,0.0545,0.0036
S19,S1,IU,Leptospermum squarrosum,lepto,1,0.0385,0.0036
S19,S2,IU,Leptospermum squarrosum,lepto,2,,0.0034
S19,S3,IU,Leptospermum squarrosum,lepto,3,0.0071,0.0002
S19,S1,IU,Entolasia stricta,ento,1,0.1476,0.0044
S19,S2,IU,Entolasia stricta,ento,2,0.0769,0.0008
S19,S3,IU,Entolasia stricta,ento,3,0.0899,0.0019
S19,S1,IU,Xyris bracteata,xyr,1,0.1359,0.0037
S19,S3,IU,Banksia ericifolia,eric,3,0.0532,
S18,S1,IB,Cyathachaeta diandra,cya,1,0.0514,
S18,S2,IB,Cyathachaeta diandra,cya,2,0.0601,
S18,S3,IB,Cyathachaeta diandra,cya,3,,
S18,S1,IB,Leptospermum squarrosum,lepto,1,,
S18,S2,IB,Leptospermum squarrosum,lepto,2,,0.001
S18,S3,IB,Leptospermum squarrosum,lepto,3,,
S18,S1,IB,Leptocarpus tenax,tenax,1,,0.0009
S18,S2,IB,Leptocarpus tenax,tenax,2,,0.0007
S18,S3,IB,Leptocarpus tenax,tenax,3,0.1577,0.0056
